individual,Specimen,Lat,Long,year,2011 Bin sch. 1,2011 Bin sch. 2,2011 Bin sch. 3,Spinks group (prelim),,Parham sex,Buskirk sex,prelim sex bin,notes,,Specimens are in the order in which they appear in the TPS file.,
70,CAS 56885,30.9167,115.6357,1923,pall,pall,pall,4,4,M,M,1,"La Joya is not on map, but I did find Valladares Creek in San PEdro Matir Mts.; coords are for el portrero ranch, which seem close (but not within 2 miles) of the coords the NGA GNS database came up with for a L Joya (that is not labeled on map) in this general area",,,
71,CAS 57633,35.25343,120.6769,1923,CCR,CCR,CCR,1?,1,J,J,3,,,,
72,CAS 137759,37.5903,121.1217,1987,CCR,CCR,CCR,1?,1,M,M,1,"Coords are for a point approx 1.5km (linear, not exactly following curves of river) upstream of shiloh rd. bridge",,,
73,CAS 138885,30.3092,115.1667,1974,pall,pall,pall,4,4,m,m,2,Coords are for a ranch Called San Juan de Dios that is about 30 miles north east of Rosario (linear) that is along a stream also called San Juan de Dios,,,
74,CAS 159487,36.20278,120.10194,1984,CCR,marm,SJ,1?,1,M,M,1,,,,
75,CAS 186108,37.94333,122.26056,1992,CCR,CCR,CCR,1?,1,M,M,1,,,,
76,CAS 188527,39.0132,122.357,1986,marm,marm,marm,1,1,J,J,3,,,,
77,CAS 188528,37,121.5333,1989,CCR,CCR,CCR,1?,1,F,F,2,coords for a point about .5 miles south of hwy 152 on llagas creek,,,
78,CAS 188529,35.1028,120.1075,1988,CCR,CCR,CCR,1?,1,M,M,1,coords for a point about 28.6 miles west of new cuyama on hwy 166 on cuyama river,,,
79,CAS 188530,37.0567,121.4642,1987,CCR,CCR,CCR,1?,1,M,M,1,coords for a point 4 miles (linear) south of gilroy hot springs for creek next to canada rd.121,,,
80,CAS 188531,38.0397,120.2317,1986,marm,marm,SJ,1,1,M,M,1,"Found Twain Harte and Cedar Ridge on map, but no obvious Cedar Ridge lake; Coords used here are for Twain Harte and appear to be on a creek that runs through area (possibly Sullivan Creek?)",,,
81,CAS 188532,39.2486,121.07923,1986,marm,marm,marm,1,1,F,F,2,,,,
82,CAS 188533,39.0132,122.357,1986,marm,marm,marm,1,1,f,f,3,coords are for easternmost point where hwy 20 crosses bear creek,,,
83,CAS 188534,36.2486,121.07923,1986,CCR,CCR,CCR,1?,1,M,M,1,,,,
84,CAS 188535,37.5179,121.81,1987,CCR,CCR,CCR,1?,1,J,J,3,Coords are approximately for a pond in Sunol park near cerro este road; upper barn is not shown on EB park map,,,
85,CAS 188536,36.1014,121.4922,1986,CCR,CCR,CCR,1?,1,F,F,2,coords for head of arroyo seco trail; on map these coords are on a trail and the trail is next to a arroyo seco creek/river ,,,
86,CAS 188537,37.4271,121.5,1986,CCR,CCR,CCR,1?,1,F,F,2,Coords are for an easily measurable point on the creek that runs through blackbird valley,,,
87,CAS 188538,37.1712,121.6633,1986,CCR,CCR,CCR,1?,1,M,?,1,Poverty flat isn't on map; Coords are for a flat area where several forks of Coyote creek come together,,,
88,CAS 188539,39.00688,123.36003,1981,marm,marm,marm,1,1,M,M,1,,,,
89,CAS 188540,36.8472,121.3333,1966,CCR,CCR,CCR,1?,1,J,F,3,Coords are for a point on a branch of Santa Ana Creek that is 2.5 miles east of eastern edge of hollister,,,
90,CAS 197574,37.0847,121.2858,1993,CCR,CCR,CCR,1?,1,J,J,3,Coords are for a point on North Fork of Pacheo Creek near the coords for Chimney Rock (Chimney rocks is not on mao),,,
91,CAS 199471,35.625,121.1617,1994,CCR,CCR,CCR,1?,1,J,J,3,coords are for a point on little pico creek just east of hwy 1,,,
92,CAS 201250,39.42639,122.97828,1996,marm,marm,marm,1,1,M,M,1,,,,
93,CAS 202595,37.43758,121.5125,1997,CCR,CCR,CCR,1?,1,J,F,3,,,,
94,CAS 203154,38.8734,122.3783,1997,marm,marm,marm,1,1,J,J,3,Coords are for a point approx. .2 miles upstream of Rayhouse road on Davis creek,,,
95,CAS 203155,38.8733,122.3556,1997,marm,marm,marm,1,1,J,J,3,Coords are for a point on Davis Creek approximately .5 miles (linear) downstream from my estimate of where the dam is on the Reservoir,,,
96,CAS 203487,39.82425,123.1945556,1997,marm,marm,marm,1,1,F,F,2,,,,
97,CAS 203611,39.0939,122.6094,1997,marm,marm,marm,1,1,j,j,3,coords are for junction of wolf creek and salt lick canyon,,,
98,CAS 203624,39.1694,122.6139,1997,marm,marm,marm,1,1,J,F?,3,Coords are for junction of Spanish Creek and North Fork of Cache Creek,,,
99,CAS 203653,39.25,122.95,1997,marm,marm,marm,1,1,J,M,3,"Coords are for the junction of east fork and west forks of middle creek, which is about 7 miles north northwest (linear) of upper lake; I can't find a south fork of middle creek on the map ",,,
100,CAS 203666,39.25,122.95,1997,marm,marm,marm,1,1,J,J,3,"Coords are for the junction of east fork and west forks of middle creek, which is about 7 miles north northwest (linear) of upper lake; I can't find a south fork of middle creek on the map ",,,
101,CAS 203667,39.25,122.95,1997,marm,marm,marm,1,1,M,M,1,"Coords are for the junction of east fork and west forks of middle creek, which is about 7 miles north northwest (linear) of upper lake; I can't find a south fork of middle creek on the map ",,,
102,CAS 203712,38.5333,121.7558,1997,marm,marm,marm,1,1,M,M,1,"Coords are for a point on Putah creek, next to the symbol on map for UC Davis Arboretum",,,
103,CAS 203713,38.5333,121.7558,1997,marm,marm,marm,1,1,J,F?,3,"Coords are for a point on Putah creek, next to the symbol on map for UC Davis Arboretum",,,
104,CAS 203714,38.5333,121.7558,1997,marm,marm,marm,1,1,F,M?,2,"Coords are for a point on Putah creek, next to the symbol on map for UC Davis Arboretum",,,
105,CAS 203715,38.5333,121.7558,1997,marm,marm,marm,1,1,F,F,2,"Coords are for a point on Putah creek, next to the symbol on map for UC Davis Arboretum",,,
106,CAS 205750,37.5215,121.5448,1998,CCR,CCR,CCR,1?,1,M,M,1,Coords are for a point about 3 miles north of county line on Mines Road that is where an unnamed tributary joins arroyo mocho,,,
107,CAS 207045,39.3729,121.0967,1998,marm,marm,marm,1,1,M,M,1,Coords are for a point on hwy where it crosses an unnamed stream just north of north San Juan,,,
108,CAS 207170,39.8807,122.3762,1998,marm,marm,marm,1,1,M,M,1,Coords are for a point approximately 200m upstream of junction of Davis and Cache Creeks,,,
109,CAS 208745,36.9878,119.32372,1998,marm,marm,SJ,2,2,F,M,2,,,,
110,CAS 208780,37.0435,119.34444,1999,marm,marm,SJ,2?,2,M,M,1,,,,
111,CAS 208851,39.81699,123.23998,1999,marm,marm,marm,1,1,M,M,1,,,,
112,CAS 208919,37.60497,119.82185,1999,marm,marm,SJ,1?,1,J,F,3,,,,
113,CAS 209088,39.8731,122.99574,1999,marm,marm,marm,1,1,J,J,3,,,,
114,CAS 209134,39.62461,122.87522,1999,marm,marm,SJ,1,1,F,F,2,,,,
115,CAS 209137,39.09667,122.61246,1999,marm,marm,marm,1,1,J,F,3,,,,
116,CAS 209175,39.25889,122.93666,1999,marm,marm,marm,1,1,m,m,3,,,,
117,CAS 209245,37.37928,119.38628,1999,marm,marm,SJ,2?,2,J,F?,3,,,,
118,CAS 209502,39.31644,122.92119,1999,marm,marm,marm,1,1,J,J,3,,,,
119,CAS 209927,39.72261,121.36349,1999,marm,marm,marm,1,1,F,F,2,,,,
120,CAS 210455,35.7236,121.2767,1996,CCR,CCR,CCR,1?,1,M,M,1,Coords are for a point approx 2.5km (linear) NE of hwy 1 on Arroyo de la Cruz,,,
121,CAS 212560,39.40697,122.63481,2000,marm,marm,marm,1,1,F,F?,2,,,,
122,CAS 212573,39.34828,122.65944,2000,marm,marm,marm,1,1,F,F,2,,,,
123,CAS 212690,39.6,122.59356,2000,marm,marm,marm,1,1,M,M,1,,,,
124,CAS 212708,39.26953,122.59154,2000,marm,marm,marm,1,1,M,M,1,,,,
125,CAS 212733,39.28964,122.56478,2000,marm,marm,marm,1,1,M,M,1,,,,
126,CAS 212755,39.28172,122.61897,2000,marm,marm,marm,1,1,F,F,2,,,,
127,CAS 212770,39.23522,122.77761,2000,marm,marm,marm,1,1,J,J,3,,,,
128,CAS 212949,37.27525,119.34133,2000,marm,marm,SJ,2?,2,J,F,3,,,,
129,CAS 218663,36.9519,121.55786,2000,CCR,CCR,CCR,1?,1,F,F,2,,,,
130,CAS 219454,39.34921,122.87339,2001,marm,marm,marm,1,1,J,F,3,,,,
131,CAS 219465,39.36189,122.89883,2001,marm,marm,marm,1,1,J,J,3,,,,
132,CAS 219475,39.299,122.84422,2001,marm,marm,marm,1,1,J,F,3,,,,
133,CAS 219506,39.53894,122.8654,2001,marm,marm,marm,1,1,J,J,3,,,,
134,CAS 219555,39.53072,122.83206,2001,marm,marm,marm,1,1,J,J,3,,,,
135,CAS 220677,39.90536,123.06442,2001,marm,marm,marm,1,1,M,M,1,,,,
136,CAS 224202,36.16144,118.70939,2002,marm,marm,SJ,2,2,M,M,1,,,,
137,CAS 224885,36.20111,118.76086,2002,marm,marm,SJ,2,2,M,M,1,,,,
138,CAS 226973,40.233,121.87722,2003,marm,marm,marm,1,1,J,J,3,,,,
139,CAS 227011,40.08303,121.6909,2003,marm,marm,marm,1,1,F,F,2,,,,
140,CAS 8635,33.75639,118.18806,1929,pall,pall,pall,4,4,F,F,2,,,,
141,CAS 43451,36.195,119.29639,1917,marm,marm,SJ,2?,2,F,F,2,,,,
142,CAS 43585,41.52083,122.51917,1917,marm,marm,marm,1,1,J,J,3,,,,
143,CAS 44272,41.9047,121.6456,1918,marm,marm,marm,1,1,F,F,2,Coords for a point on SE side of lower Klamath lake,,,
144,CAS 50168,37.1967,122.0833,1921,CCR,CCR,CCR,1?,1,F,F,2,Coords are for an easily measurable point on Deer Creek in Santa Cruz Mountains in Santa Cruz County; vagueness of locality makes this extremely approximate,,,
145,MVZ 3821,40.1877799999999,123.04528,1912,marm,marm,marm,1,1,M,M,1,,,,
146,MVZ 3822,40.355192,122.1741371,1912,marm,marm,marm,1,1,M,M,1,,,,
147,MVZ 3823,38.3575615999999,122.0416581,1912,marm,marm,marm,1,1,M?,M?,?,,,,
148,MVZ 3824,38.3575615999999,122.0416581,1912,marm,marm,marm,1,1,F,F,2,,,,
149,MVZ 3825,38.3575615999999,122.0416581,1912,marm,marm,marm,1,1,F,F,2,,,,
150,MVZ 3826,40.0451166,122.0956491,1912,marm,marm,marm,1,1,J,J,3,,,,
151,MVZ 3827,38.357418,122.0416591,1912,marm,marm,marm,1,1,J,J,3,,,,
152,MVZ 5099,39.45279,123.0889,1913,marm,marm,marm,1,1,J,J,3,,,,
153,MVZ 5649,37.7084699999999,120.086517,1916,marm,marm,SJ,1?,1,F,F?,2,,,,
154,MVZ 5911,37.771189,120.118281,1915,marm,marm,SJ,1?,1,J,J,3,,,,
155,MVZ 5912,37.740876,120.15755,1915,marm,marm,SJ,1?,1,F,F,2,,,,
156,MVZ 5913,37.659263,120.28745,1915,marm,marm,SJ,1?,1,M,M,1,,,,
157,MVZ 5914,37.659263,120.28745,1915,marm,marm,SJ,1?,1,J,J,3,,,,
158,MVZ 5915,37.760415,120.130832,1915,marm,marm,SJ,1?,1,M,M,1,,,,
159,MVZ 6246,36.7383,119.12,1916,marm,marm,marm,2?,2,J,J,3,,,,
160,MVZ 6713,33.810366,118.074744,1916,pall,pall,pall,4,4,F,F,2,,,,
161,MVZ 6714,33.810366,118.074744,1916,pall,pall,pall,4,4,M,M,1,,,,
162,MVZ 6715,33.810366,118.074744,1916,pall,pall,pall,4,4,M?,M,1,,,,
163,MVZ 6717,33.810366,118.074744,1916,pall,pall,pall,4,4,F,F,2,,,,
164,MVZ 6718,33.810366,118.074744,1916,pall,pall,pall,4,4,J,F,3,,,,
165,MVZ 6719,33.810366,118.074744,1916,pall,pall,pall,4,4,J,J,3,,,,
166,MVZ 6720,33.810366,118.074744,1916,pall,pall,pall,4,4,J,J,3,,,,
167,MVZ 6847,36.7809,120.3793,1918,CCR,marm,SJ,2?,2,J,J,3,,,,
168,MVZ 7161,37.7535359999999,120.1058,1919,marm,marm,SJ,1?,1,J,F,3,,,,
169,MVZ 7162,37.7535359999999,120.1058,1919,marm,marm,SJ,1?,1,F,F,2,,,,
170,MVZ 7416,37.756036,120.115266,1920,marm,marm,SJ,1?,1,J,J,3,,,,
171,MVZ 8012,34.1433919999999,118.360716,1917,pall,pall,pall,4,4,J,J,3,,,,
172,MVZ 8234,37.8855504,122.11396,1921,CCR,CCR,CCR,1?,1,F,F?,2,,,,
173,MVZ 8558,39.2677900999999,123.364800399999,1922,marm,marm,,1,1,F,F?,2,,,,
174,MVZ 9818,30.9728,116.1242,1925,pall,pall,pall,4,4,M,m,1,Coords are for a point on San Telmo Creek that is approx 2 miles (linear) dowstream from San Telmo),,,
175,MVZ 9819,30.9728,116.1242,1925,pall,pall,pall,4,4,M,J,1,Coords are for a point on San Telmo Creek that is approx 2 miles (linear) dowstream from San Telmo),,,
176,MVZ 9965,40.3152626999999,122.0691489,1924,marm,marm,marm,1,1,?,?,?,,,,
177,MVZ 9966,40.3152626999999,122.0691489,1924,marm,marm,marm,1,1,J,F?,3,,,,
178,MVZ 9967,40.3152626999999,122.0691489,1924,marm,marm,marm,1,1,M,M,1,,,,
179,MVZ 9988,40.3641799999999,121.91216,1924,marm,marm,marm,1,1,J,J,3,,,,
180,MVZ 10109,40.1877799999999,123.04528,1926,marm,marm,marm,1,1,J,J,3,,,,
181,MVZ 10110,40.355192,122.1741371,1926,marm,marm,marm,1,1,J,J,3,,,,
182,MVZ 10494,31.3842,115.7879,1926,pall,pall,pall,4,4,?,F,?,Coords are for a point on Las Pozas Creek near Valle la Trinidad,,,
183,MVZ 14601,40.4048453999999,123.464450799999,1932,marm,marm,marm,1,1,M,M,1,,,,
184,MVZ 14602,40.4048453999999,123.464450799999,1932,marm,marm,marm,1,1,F,F,2,,,,
185,MVZ 14603,40.4048453999999,123.464450799999,1932,marm,marm,marm,1,1,F,F,2,,,,
186,MVZ 14604,40.4048453999999,123.464450799999,1932,marm,marm,marm,1,1,F,F?,2,,,,
187,MVZ 14605,40.4251158,123.4786419,1932,marm,marm,marm,1,1,M?,M?,1,,,,
188,MVZ 14606,40.4106692,123.4786034,1932,marm,marm,marm,1,1,?,F?,?,,,,
189,MVZ 14607,40.4106692,123.4786034,1932,marm,marm,marm,1,1,J,J,3,,,,
190,MVZ 14608,40.4106692,123.4786034,1932,marm,marm,marm,1,1,F,?,2,,,,
191,MVZ 16856,45.3486,122.6189,1932,marm,marm,marm,1,1,J,?,3,"Oregon; Locality data is very vague; Coords are for a point just down stream from Oregon City on WiIlamette River, in Clacakmas Couty; River seems to go through a deep ravine here; also fairly close (just upstream and across river) from Town of Willamette (from USGS online Topo); coords obviously quite approximate",,,
192,MVZ 18937,42.15,122.0275,1935,marm,marm,marm,1,1,J,J,3,"Oregon; Coords are for a point on east side of spencer creek, near where it joins the Klamath River; This is about 9 miles downstream (on Klamath River) from Town of Keno (from USGS online topo)",,,
193,MVZ 18938,42.15,122.0275,1935,marm,marm,marm,1,1,J,J,3,"Oregon; Coords are for a point on east side of spencer creek, near where it joins the Klamath River; This is about 9 miles downstream (on Klamath River) from Town of Keno (from USGS online topo)",,,
194,MVZ 19334,36.4884739999999,118.83449,1935,marm,marm,SJ,2,2,J,J,3,,,,
195,MVZ 21214,36.5844,120.80128,1936,CCR,CCR,CCR,1?,1,F,J,2,,,,
196,MVZ 21215,36.5844,120.80128,1936,CCR,CCR,CCR,1?,1,J,M,3,,,,
197,MVZ 21216,36.5844,120.80128,1936,CCR,CCR,CCR,1?,1,M,M,1,,,,
198,MVZ 21778,38.5822531,123.1169613,1936,marm,marm,marm,1,1,J,J,3,,,,
199,MVZ 21910,36.551147,118.895255,1935,marm,marm,SJ,2,2,J,J,3,,,,
200,MVZ 25935,39.300268,123.2909909,1938,marm,marm,marm,1,1,J,J,3,,,,
201,MVZ 32246,37.6293799999999,121.7051798,1939,CCR,CCR,CCR,1?,1,F,F,2,,,,
202,MVZ 33763,36.9057999999999,119.2495,1940,marm,marm,SJ,2,2,J,J,3,,,,
203,MVZ 34937,37.0178099999999,119.70854,1940,marm,marm,SJ,2?,2,M,F?,1,,,,
204,MVZ 34938,37.004511,119.670285,1940,marm,marm,SJ,2?,2,F,M?,2,,,,
205,MVZ 36269,38.5618333,122.4146917,1941,marm,marm,marm,1,1,M,M,1,,,,
206,MVZ 38414,35.6160459999999,118.4491945,1942,marm,marm,SJ,2,2,F,M?,2,,,,
207,MVZ 39147,40.55443,123.143919999999,1943,marm,marm,marm,1,1,F,F?,2,,,,
208,MVZ 39148,40.55443,123.143919999999,1943,marm,marm,marm,1,1,J,J,3,,,,
209,MVZ 39149,40.55443,123.143919999999,1943,marm,marm,marm,1,1,F,F?,2,,,,
210,MVZ 40576,38.1192781,122.8213215,1944,marm,marm,marm,1,1,M?,M?,1,,,,
211,MVZ 44631,38.637351,121.19781,1947,marm,marm,marm,1,1,M,M,1,,,,
212,MVZ 44906,35.282927,120.296349,1947,CCR,CCR,CCR,1?,1,J,J,3,,,,
213,MVZ 45601,39.5274038,123.4006151,1948,marm,marm,marm,1,1,F,F,2,,,,
214,MVZ 55511,37.261865,119.699267,1951,marm,marm,SJ,1?,1,M/J,M,1,,,,
215,MVZ 55532,37.090636,119.721442999999,1952,marm,marm,SJ,2?,2,F,J,2,,,,
216,MVZ 60213,37.6209806999999,121.6998837,1953,CCR,CCR,CCR,1?,1,F,F,2,,,,
217,MVZ 60214,37.6209806999999,121.6998837,1953,CCR,CCR,CCR,1?,1,F,F,2,,,,
218,MVZ 60215,37.6209806999999,121.6998837,1953,CCR,CCR,CCR,1?,1,M,M,1,,,,
219,MVZ 64485,37.8467775,122.229231799999,1935,CCR,CCR,CCR,1?,1,J,J,3,,,,
220,MVZ 64486,37.9550124,122.5759864,1936,marm,marm,marm,1?,1,J,J,3,,,,
221,MVZ 66192,37.42942,122.248743,1957,CCR,CCR,CCR,1?,1,J,J,3,,,,
222,MVZ 72459,37.5942599999999,121.90448,1961,CCR,CCR,CCR,1?,1,F,F,2,,,,
223,MVZ 72691,37.9123039999999,122.267857,1961,CCR,CCR,CCR,1?,1,J,J,3,,,,
224,MVZ 77998,38.9174908,122.3474562,1963,marm,marm,marm,1,1,M,M,1,,,,
225,MVZ 78784,38.1853085999999,122.0540669,1947,marm,marm,marm,2?,2,M,M,1,,,,
226,MVZ 78785,40.7376216999999,122.071585799999,1953,marm,marm,marm,1,1,F?,M,2,,,,
